year,day_start,day_end,mean,average_for_last_5,RF_pred
2019,200,205,2.517538408,2.517538408,2.517538408
2019,205,210,2.647528929,2.647528929,2.647528929
2019,210,215,2.38958498,2.38958498,2.38958498
2019,215,220,2.388828958,2.388828958,2.388828958
2019,220,225,2.52550238,2.52550238,2.52550238
2019,225,230,2.699577309,2.699577309,2.699577309
2019,230,235,2.445474621,2.445474621,2.445474621
2019,235,240,2.311331269,2.311331269,2.311331269
2019,240,245,2.345165102,2.345165102,2.345165102
2019,245,250,2.374130277,2.374130277,2.374130277
2019,250,255,2.746770114,2.746770114,2.746770114
2019,255,260,2.688888679,2.688888679,2.688888679
2019,260,265,2.445075964,2.445075964,2.445075964
2019,265,270,2.148048917,2.148048917,2.148048917
2019,270,275,2.694160355,2.694160355,2.694160355
2019,275,280,2.759248524,2.759248524,2.759248524
2019,280,285,2.511873451,2.511873451,2.511873451
2019,285,290,2.503008672,2.503008672,2.503008672
2019,290,295,2.543290874,2.543290874,2.543290874
2019,295,300,2.644790173,2.644790173,2.644790173
2019,300,305,2.486145179,2.486145179,2.486145179
2019,305,310,2.358381232,2.358381232,2.358381232
2019,310,315,2.770491223,2.770491223,2.770491223
2019,315,320,3.127699852,3.127699852,3.127699852
2019,320,325,2.896279234,2.896279234,2.896279234
2019,325,330,2.953843948,2.953843948,2.953843948
2019,330,335,2.755909419,2.755909419,2.755909419
2019,335,340,2.672741344,2.672741344,2.672741344
2019,340,345,2.328608796,2.328608796,2.328608796
2019,345,350,2.607049025,2.607049025,2.607049025
2019,350,355,2.508933743,2.508933743,2.508933743
2019,355,360,2.516541757,2.516541757,2.516541757
2019,360,365,2.637575239,2.637575239,2.637575239
2020,0,5,2.165501822,2.165501822,2.165501822
2020,5,10,2.379919106,2.379919106,2.379919106
2020,10,15,2.353864087,2.353864087,2.353864087
2020,15,20,2.32771843,2.32771843,2.32771843
2020,20,25,2.410176128,2.410176128,2.410176128
2020,25,30,2.129870789,2.129870789,2.129870789
2020,30,35,2.303117691,2.303117691,2.303117691
2020,35,40,2.342720552,2.342720552,2.342720552
2020,40,45,2.889341602,2.889341602,2.889341602
2020,45,50,2.775491065,2.775491065,2.775491065
2020,50,55,2.572776943,2.572776943,2.572776943
2020,55,60,2.477614237,2.477614237,2.477614237
2020,60,65,2.563577837,2.563577837,2.563577837
2020,65,70,2.993839161,2.993839161,2.993839161
2020,70,75,3.049964151,3.049964151,3.049964151
2020,75,80,2.81717358,2.81717358,2.81717358
2020,80,85,3.003710352,3.003710352,3.003710352
2020,85,90,3.246895687,3.246895687,3.246895687
2020,90,95,2.984330555,2.984330555,2.984330555
2020,95,100,2.587814543,2.587814543,2.587814543
2020,100,105,2.77089042,2.77089042,2.77089042
2020,105,110,3.109415501,3.109415501,3.109415501
2020,110,115,3.190768692,3.190768692,3.190768692
2020,115,120,2.521409113,2.521409113,2.521409113
2020,120,125,2.921274327,2.921274327,2.921274327
2020,125,130,3.157489799,3.157489799,3.157489799
2020,130,135,3.171904744,3.171904744,3.171904744
2020,135,140,2.999998068,2.999998068,2.999998068
2020,140,145,2.660176296,2.660176296,2.660176296
2020,145,150,2.876147652,2.876147652,2.876147652
2020,150,155,2.875976176,2.875976176,2.875976176
2020,155,160,2.911916837,2.911916837,2.911916837
2020,160,165,2.637562801,2.637562801,2.637562801
2020,165,170,2.678444922,2.678444922,2.678444922
2020,170,175,2.790470093,2.790470093,2.790470093
2020,175,180,2.683949657,2.683949657,2.683949657
2020,180,185,2.300254249,2.300254249,2.300254249
2020,185,190,2.580133243,2.580133243,2.580133243
2020,190,195,2.564050352,2.564050352,2.564050352
2020,195,200,2.449910124,2.449910124,2.449910124
2020,200,205,2.628744689,2.628744689,2.628744689
2020,205,210,2.409126326,2.409126326,2.409126326
2020,210,215,2.527594107,2.527594107,2.527594107
2020,215,220,2.472880539,2.472880539,2.472880539
2020,220,225,2.595197823,2.595197823,2.595197823
2020,225,230,2.613142364,2.613142364,2.613142364
2020,230,235,2.530521926,2.530521926,2.530521926
2020,235,240,2.500358483,2.500358483,2.500358483
2020,240,245,2.401726866,2.401726866,2.401726866
